# airport-id	latitude	longitude	airport-name
00A	40.07080078125	-74.93360137939453	Total Rf Heliport
00AA	38.704022	-101.473911	Aero B Ranch Airport
00AK	59.947733	-151.692524	Lowell Field
00AL	34.86479949951172	-86.77030181884766	Epps Airpark
00AN	59.093287	-156.456699	Katmai Lodge Airport
00AR	35.6087	-91.254898	Newport Hospital & Clinic Heliport
00AS	34.9428028	-97.8180194	Fulton Airport
00AZ	34.305599212646484	-112.16500091552734	Cordes Airport
00CA	35.35474	-116.885329	Goldstone (GTS) Airport
00CL	39.427188	-121.763427	Williams Ag Airport
00CN	32.7273736	-116.4597417	Kitchen Creek Helibase Heliport
00CO	40.622202	-104.344002	Cass Field
00FA	28.64550018310547	-82.21900177001953	Grass Patch Airport
00FD	28.8466	-82.345398	Ringhaver Heliport
00FL	27.230899810791016	-80.96920013427734	River Oak Airport
00GA	33.76750183105469	-84.06829833984375	Lt World Airport
00GE	33.887982	-84.736983	Caffrey Heliport
00HI	19.832881	-155.978347	Kaupulehu Heliport
00ID	48.145301818847656	-116.21399688720703	Delta Shores Airport
00IG	39.724028	-101.395994	Goltl Airport
00II	41.644501	-87.122803	Bailey Generation Station Heliport
00IL	41.978401	-89.560402	Hammer Airport
00IN	41.51139831542969	-87.2605972290039	St Mary Medical Center Heliport
00IS	40.02560043334961	-89.1229019165039	Hayenga's Cant Find Farms Airport
00KS	38.72779846191406	-94.93049621582031	Hayden Farm Airport
00KY	37.409400939941406	-84.61969757080078	Robbins Roost Airport
00LA	30.191944	-90.980833	Shell Chemical East Site Heliport
00LL	39.66529846191406	-89.70559692382812	Ac & R Components Heliport
00LS	30.136299	-92.429398	Lejeune Airport
00MD	38.75709915161133	-75.75379943847656	Slater Field
00MI	43.94940185546875	-86.41670227050781	Dow Chemical Heliport
00MN	46.29999923706055	-95.70030212402344	Battle Lake Municipal Airport
00MO	37.202800750732	-94.412399291992	Cooper Flying Service Airport
00MT	45.675	-110.52515	Livingston Healthcare Heliport
00N	39.473201751708984	-75.1852035522461	Bucks Airport
00NC	36.085201263427734	-78.37139892578125	North Raleigh Airport
00NJ	40.52090072631836	-74.47460174560547	Colgate-Piscataway Heliport
00NK	44.8118612	-73.3698057	Cliche Cove Seaplane Base
00NR	35.594729	-75.470002	Rodanthe Dare County Heliport
00NY	42.89576	-77.495263	Weiss Airfield
00OH	41.590476	-84.141583	Exit 3 Airport
00OI	39.745091	-84.187278	Miami Valley Hospital Heliport
00OK	36.198598	-96.217693	Gull Bay Landing Airport
00OR	44.932899475097656	-123.12999725341797	Steel Systems Heliport
00PA	39.94889831542969	-75.74690246582031	R J D Heliport
00PN	41.2995	-80.211111	Ferrell Field
00PS	40.3778	-77.365303	Thomas Field
00S	44.181466	-122.086	McKenzie Bridge State Airport
00SC	34.0093994140625	-80.26719665527344	Flying O Airport
00SD	44.809158	-96.498897	Homan Field
00TA	32.8269	-97.305801	SW Region FAA Heliport
00TE	32.847599029541016	-97.18949890136719	Tcjc-Northeast Campus Heliport
00TN	35.515899658203125	-85.95359802246094	Ragsdale Road Airport
00TS	32.607601165771484	-97.24199676513672	Alpine Range Airport
00TX	29.7377	-94.980201	San Jacinto Methodist Hospital Heliport
00UT	37.247799	-112.821998	Clear Creek Ranch Airport
00VA	36.57600021	-78.9991684	Vaughan Airport
00VI	36.663299560546875	-80.49949645996094	Groundhog Mountain Airport
00W	46.672884	-117.441933	Lower Granite State Airport
00WA	47.17839813232422	-122.77200317382812	Howell Airport
00WI	44.304298400878906	-89.05010223388672	Northern Lite Airport
00WN	46.25	-117.2490005493164	Hawks Run Airport
00WV	38.82889938354492	-79.86609649658203	Lazy J. Aerodrome
00WY	42.840361	-106.224443	Mountain View Regional Hospital Heliport
00XS	33.033401	-101.933998	L P Askew Farms Airport
01A	62.943599700927734	-152.27000427246094	Purkeypile Airport
01AK	60.105873975399994	-149.446249008	Providence Seward Medical Center Heliport
01AL	32.94599914550781	-86.51390075683594	Ware Island Airport
01AN	61.649095	-149.339025	McHone Heights Airport
01AR	34.047456	-94.354023	DeQueen Medical Center Heliport
01AZ	34.607406	-111.8609	Yat Heliport
01C	43.341701507568	-85.775001525879	Grant Airport
01CA	34.368241	-117.370059	SCE Lugo Substation Heliport
01CL	38.79990005493164	-120.73400115966797	Swansboro Country Airport
01CN	34.0378	-118.153999	Los Angeles County Sheriff's Department Heliport
01CO	39.24530029296875	-106.24600219726562	St Vincent General Hospital Heliport
01CT	41.62730026245117	-72.72750091552734	Berlin Fairgrounds Heliport
01FA	28.589399337768555	-81.14420318603516	Rybolt Ranch Airport
01FD	28.666639	-81.3697	Advent Health Altamonte Springs Heliport
01FL	28.78190040588379	-81.1592025756836	Cedar Knoll Flying Ranch Airport
01GA	32.47930145263672	-84.9791030883789	Medical Center Heliport
01GE	32.675106	-82.771055	The Farm Airport
01IA	41.66109848022461	-90.74130249023438	Stender Airport
01ID	42.6082	-112.031998	Lava Hot Springs Airport
01II	39.8849983215332	-86.50669860839844	Myers Field
01IL	40.45859909057617	-87.65950012207031	Hoopeston Community Memorial Hospital Heliport
01IN	40.13090133666992	-85.69580078125	Community Hospital Heliport
01IS	39.01620101928711	-90.31819915771484	William E. Koenig Airport
01J	30.68630027770996	-81.90570068359375	Hilliard Airpark
01K	37.036132	-97.58533	Caldwell Municipal Airport
01KS	38.54059982299805	-97.00330352783203	Flying N Ranch Airport
01KY	37.051700592041016	-88.64689636230469	Lourdes Hospital Heliport
01LA	32.638999938964844	-91.77369689941406	Barham Airport
01LL	38.12580108642578	-89.46389770507812	Schumaier Restricted Landing Area
01LS	30.722478	-91.077372	Country Breeze Airport
01MA	42.625099182128906	-71.18009948730469	Compaq Andover Heliport
01MD	38.999199	-76.456001	Annapolis Seaplane Base
01ME	46.778900146484375	-68.50029754638672	Saint Peter's Seaplane Base
01MI	43.04949951171875	-83.67970275878906	Flow Through Terminal Heliport
01MN	47.899600982666016	-92.55740356445312	Barnes Seaplane Base
01MO	38.641700744628906	-90.48429870605469	Highway Patrol Troop C Headquarters Heliport
01MT	48.789100646972656	-114.87999725341797	Crystal Lakes Resort Airport
01MU	32.196747	-110.775142	NWMC - Houghton Heliport
01NC	34.47529983520508	-77.5813980102539	Topsail Airpark
01NE	40.843619	-100.651503	Detour Airport
01NH	43.6445	-72.086998	Moore Airfield
01NJ	40.739956	-74.136128	Albert Guido Memorial Heliport
01NM	33.008611	-104.540278	Champion Ranch Airport
01NR	34.196264	-77.919917	McGee 01 Heliport
01NV	38.76390075683594	-119.0270004272461	Lantana Ranch Airport
01NY	41.692415	-73.93683	Vassar Hospital Heliport
01OH	39.497455	-84.313851	Atrium Medical Center Heliport
01OI	40.730267	-82.802022	Avita Health System Galion Hospital Heliport
01OK	35.294498	-98.636496	Lawrence Airport
01OL	34.391667	-96.690833	Spring Creek Ranch East Airport
01OR	43.119301	-121.044997	Red & White Flying Service Airport
01PA	40.655602	-80.050903	Pine Heliport
01PN	40.930599212646484	-77.73889923095703	Bierly(Personal Use) Airport
01PS	41.59590148925781	-76.02960205078125	Nort's Resort Airport
01SC	35.032100677490234	-81.25279998779297	York Airport
01TA	32.69419860839844	-97.11579895019531	Thirty Thirty Matlock Office Center Heliport
01TE	32.73759841918945	-96.4280014038086	Smith Field
01TN	34.99589920043945	-89.73059844970703	Colonial Air Park
01TS	32.7285	-97.324501	St Joseph Hospital Heliport
01TT	29.012067	-95.402119	Clute Fire & EMS Station #1 Heliport
01TX	32.388115	-96.877398	Mims Farm Ultralightport
01U	38.849785	-115.634987	Duckwater Airport
01UT	38.30830001831055	-109.39600372314453	La Sal Junction Airport
01VA	39.125	-77.9250030518	Pickles Airport
01WA	46.66320037841797	-123.81199645996094	Willapa Harbor Heliport
01WI	44.0099983215332	-90.38919830322266	Prehn Cranberry Company Airport
01WN	48.213401794433594	-122.68499755859375	Whidbey General Hospital Heliport
01WT	47.518178	-122.210908	Odyssey Heliport
01WY	44.348312	-104.8106	Keyhole Airport
01XA	30.007222	-97.853333	Ascension Seton Hays Heliport
01XS	32.020198822021484	-95.74549865722656	Meadowood Ranch Heliport
02AA	61.506147	-149.912825	Barefoot Airport
02AK	61.876907	-150.097626	Rustic Wilderness Airport
02AL	30.37150001525879	-87.76439666748047	Bass Field
02AR	34.822445	-92.44442	Three Rivers Airport
02AZ	32.376401	-109.936996	Winchester Farm Airstrip
02CA	33.58250045776367	-118.12899780273438	Swepi Beta Platform Ellen Heliport
02CD	34.129600524902344	-90.52400207519531	Shannon Field
02CL	34.761101	-119.058998	Conover Air Lodge Airport
02CO	37.64329910279999	-106.04699707	Mc Cullough Airport
02CT	41.91960144042969	-72.44450378417969	Strangers Point Heliport
02FA	28.52669906616211	-81.87480163574219	Osborn Airfield
02FD	30.950976	-86.635555	Triple R Ranch Airport
02FL	30.642527	-86.118779	Cuchens Airport
02GA	34.202598571777344	-83.42900085449219	Doug Bolton Field
02GE	34.17530059814453	-84.92440032958984	Etowah Fields Airport
02HI	21.35839	-157.94789	K3 Helipad Heliport
02IA	42.05609893798828	-93.87799835205078	Boone County Hospital Heliport
02ID	44.55550003051758	-115.30500030517578	Morgan Ranch Airport
